2024-03-19 15:17:23,281 - INFO - ur_api: Send data: movej([0, 0, 0, 0, 0, 0], a=0.5, v=0.5, t=0, r=0)
2024-06-13 16:20:51,311 - INFO - ur_api: Send data: movej([-0.2587861802646195, -1.7292084486319204, -1.8975916049444852, -1.0720195347080959, 1.6198920945716353, -2.3607021197290776], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:51,311 - INFO - ur_api: Send data: movej([-0.2587861802646195, -1.7292084486319204, -1.8975916049444852, -1.0720195347080959, 1.6198920945716353, -2.3607021197290776], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:51,320 - INFO - ur_api: Send data: movej([-0.31841676560057874, -1.7977262345563927, -1.8349793999794741, -1.0937261145189858, 1.6190166663254377, -2.421457421996001], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:51,320 - INFO - ur_api: Send data: movej([-0.31841676560057874, -1.7977262345563927, -1.8349793999794741, -1.0937261145189858, 1.6190166663254377, -2.421457421996001], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:51,320 - INFO - ur_api: Send data: movej([-0.31841676560057874, -1.7977262345563927, -1.8349793999794741, -1.0937261145189858, 1.6190166663254377, -2.421457421996001], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:52,642 - INFO - ur_api: Send data: movej([-0.31841676560057874, -1.7977262345563927, -1.8349793999794741, -1.0937261145189858, 1.6190166663254377, -2.421457421996001], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:52,642 - INFO - ur_api: Send data: movej([-0.31841676560057874, -1.7977262345563927, -1.8349793999794741, -1.0937261145189858, 1.6190166663254377, -2.421457421996001], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:52,642 - INFO - ur_api: Send data: movej([-0.31841676560057874, -1.7977262345563927, -1.8349793999794741, -1.0937261145189858, 1.6190166663254377, -2.421457421996001], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:52,663 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7513850448046475, -1.8607789904516565, -1.1080485104004052, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:52,663 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7513850448046475, -1.8607789904516565, -1.1080485104004052, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:52,663 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7513850448046475, -1.8607789904516565, -1.1080485104004052, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:53,764 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7513850448046475, -1.8607789904516565, -1.1080485104004052, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:53,764 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7513850448046475, -1.8607789904516565, -1.1080485104004052, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:53,764 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7513850448046475, -1.8607789904516565, -1.1080485104004052, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:53,774 - INFO - ur_api: Send data: movej([-0.31189975585777585, -1.776553521931742, -1.8382275233742913, -1.0852409392959645, 1.5959022327445027, -2.413975634388043], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:53,774 - INFO - ur_api: Send data: movej([-0.31189975585777585, -1.776553521931742, -1.8382275233742913, -1.0852409392959645, 1.5959022327445027, -2.413975634388043], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:53,774 - INFO - ur_api: Send data: movej([-0.31189975585777585, -1.776553521931742, -1.8382275233742913, -1.0852409392959645, 1.5959022327445027, -2.413975634388043], a=0.4, v=0.1, t=0, r=0)

